Configuration: SHA-512 8 2 1000
Iteration 119: 0.000002292 0.000193000 0.000114833 0.000134167
Iteration 120: 0.000002333 0.000156709 0.000142459 0.000138375
Iteration 121: 0.000002750 0.000125042 0.000132625 0.000186125
Iteration 122: 0.000002250 0.000214167 0.000146333 0.000079708
Iteration 123: 0.000002250 0.000207708 0.000214583 0.000023125
Iteration 124: 0.000002334 0.000187167 0.000217209 0.000083041
Iteration 125: 0.000002875 0.000199125 0.000133625 0.000121500
Iteration 126: 0.000003250 0.000203375 0.000195291 0.000069250
Iteration 127: 0.000002333 0.000127875 0.000136667 0.000197625
Iteration 128: 0.000002917 0.000144125 0.000197834 0.000226333
Iteration 129: 0.000005959 0.000200875 0.000139250 0.000182167
Iteration 130: 0.000003042 0.000204583 0.000175750 0.000079625
Iteration 131: 0.000002584 0.000172125 0.000206500 0.000071375
Iteration 132: 0.000002500 0.000125625 0.000171083 0.000158000
Iteration 133: 0.000002333 0.000113708 0.000175208 0.000148541
Iteration 134: 0.000003292 0.000139834 0.000144875 0.000162250
Iteration 135: 0.000002333 0.000130375 0.000132792 0.000182250
Iteration 136: 0.000002333 0.000180292 0.000185667 0.000081625
Iteration 137: 0.000002333 0.000115292 0.000178875 0.000154625
Iteration 138: 0.000002542 0.000198750 0.000159708 0.000092333
Iteration 139: 0.000003584 0.000199042 0.000113292 0.000141041
Iteration 140: 0.000002292 0.000158500 0.000180958 0.000111292
Iteration 141: 0.000002334 0.000190375 0.000149000 0.000106833
Iteration 142: 0.000002292 0.000227125 0.000214917 0.000019084
Iteration 143: 0.000002584 0.000149291 0.000153042 0.000138125
Iteration 144: 0.000002292 0.000213334 0.000170958 0.000044083
Iteration 145: 0.000002208 0.000144792 0.000203750 0.000074917
Iteration 146: 0.000002125 0.000112666 0.000153292 0.000171791
Iteration 147: 0.000003250 0.000111250 0.000129125 0.000199250
Iteration 148: 0.000002291 0.000189958 0.000189042 0.000052584
Iteration 149: 0.000002250 0.000182333 0.000167792 0.000083916
Iteration 150: 0.000002208 0.000142250 0.000117292 0.000183166
Iteration 151: 0.000002250 0.000199875 0.000176667 0.000147500
Iteration 152: 0.000007709 0.000171333 0.000153291 0.000167333
Iteration 153: 0.000003333 0.000123542 0.000159333 0.000150167
Iteration 154: 0.000003916 0.000152083 0.000196917 0.000086833
Iteration 155: 0.000002291 0.000195625 0.000214792 0.000035917
Iteration 156: 0.000003333 0.000182583 0.000159166 0.000106167
Iteration 157: 0.000002291 0.000206458 0.000128916 0.000131875
Iteration 158: 0.000002375 0.000171459 0.000151500 0.000133750
Iteration 159: 0.000011000 0.000135458 0.000185042 0.000125791
Iteration 160: 0.000002750 0.000218417 0.000205500 0.000022666
Iteration 161: 0.000002292 0.000195292 0.000134458 0.000120417
Iteration 162: 0.000002375 0.000201541 0.000156792 0.000093875
Iteration 163: 0.000002500 0.000174333 0.000214708 0.000058291
Iteration 164: 0.000002375 0.000174291 0.000125375 0.000149458
Iteration 165: 0.000002292 0.000195875 0.000150375 0.000100250
Iteration 166: 0.000002333 0.000171708 0.000147375 0.000126000
Iteration 167: 0.000002208 0.000156791 0.000180792 0.000095625
Iteration 168: 0.000002250 0.000137250 0.000184084 0.000125292
Iteration 169: 0.000002292 0.000209542 0.000124625 0.000099334
Iteration 170: 0.000002250 0.000115000 0.000141750 0.000247958
Iteration 171: 0.000009750 0.000253916 0.000131458 0.000112166
Iteration 172: 0.000011916 0.000197333 0.000258875 0.000054125
Iteration 173: 0.000003958 0.000160875 0.000197459 0.000093750
Iteration 174: 0.000002458 0.000217792 0.000176875 0.000059542
Iteration 175: 0.000002417 0.000182834 0.000206208 0.000085250
Iteration 176: 0.000003333 0.000205334 0.000205667 0.000049375
Iteration 177: 0.000003750 0.000121375 0.000163292 0.000166875
Iteration 178: 0.000002500 0.000119667 0.000202208 0.000127708
Iteration 179: 0.000002333 0.000196042 0.000192125 0.000067000
Iteration 180: 0.000002333 0.000189291 0.000214542 0.000056583
Iteration 181: 0.000003083 0.000189209 0.000226459 0.000185625
Iteration 182: 0.000004625 0.000135375 0.000183709 0.000133125
Iteration 183: 0.000002500 0.000126500 0.000172750 0.000151417
Iteration 184: 0.000002500 0.000191333 0.000168875 0.000088084
Iteration 185: 0.000047084 0.000152459 0.000192125 0.000120166
Iteration 186: 0.000006333 0.000144041 0.000205125 0.000106917
Iteration 187: 0.000002458 0.000188625 0.000186875 0.000075125
Iteration 188: 0.000002833 0.000182292 0.000211208 0.000076041
Iteration 189: 0.000002708 0.000155042 0.000132583 0.000175041
Iteration 190: 0.000002041 0.000208750 0.000213708 0.000046708
Iteration 191: 0.000001833 0.000120583 0.000207917 0.000132250
