Configuration: SHA-512 8 2 1000
Iteration 145: 0.000014375 0.000198584 0.000231333 0.000045833
Iteration 146: 0.000016875 0.000199458 0.000175917 0.000082375
Iteration 147: 0.000016833 0.000142500 0.000131167 0.000186292
Iteration 148: 0.000012417 0.000214208 0.000202000 0.000046625
Iteration 149: 0.000011958 0.000156083 0.000147833 0.000161125
Iteration 150: 0.000012375 0.000160958 0.000197542 0.000102333
Iteration 151: 0.000011959 0.000205458 0.000218958 0.000053584
Iteration 152: 0.000011875 0.000171750 0.000137541 0.000150875
Iteration 153: 0.000012667 0.000206500 0.000126083 0.000140833
Iteration 154: 0.000013500 0.000153583 0.000280709 0.000234166
Iteration 155: 0.000021000 0.000230208 0.000161250 0.000073709
Iteration 156: 0.000012750 0.000254875 0.000214125 0.000018625
Iteration 157: 0.000012458 0.000195333 0.000181750 0.000111583
Iteration 158: 0.000013041 0.000142375 0.000132459 0.000204041
Iteration 159: 0.000028125 0.000129125 0.000206250 0.000161542
Iteration 160: 0.000012833 0.000201833 0.000217167 0.000051459
Iteration 161: 0.000012084 0.000216541 0.000129333 0.000113042
Iteration 162: 0.000012000 0.000143709 0.000210417 0.000117875
Iteration 163: 0.000011958 0.000176917 0.000142542 0.000144333
Iteration 164: 0.000011833 0.000169000 0.000218750 0.000073833
Iteration 165: 0.000012166 0.000222834 0.000188625 0.000051042
Iteration 166: 0.000011916 0.000217584 0.000282917 0.000015667
Iteration 167: 0.000012000 0.000217875 0.000118958 0.000122291
Iteration 168: 0.000011916 0.000161167 0.000190666 0.000106083
Iteration 169: 0.000011834 0.000169958 0.000152084 0.000137667
Iteration 170: 0.000013292 0.000230333 0.000185291 0.000053125
Iteration 171: 0.000012875 0.000160542 0.000224750 0.000075375
Iteration 172: 0.000026916 0.000208542 0.000206333 0.000049125
Iteration 173: 0.000021417 0.000157583 0.000148750 0.000158625
Iteration 174: 0.000013667 0.000124500 0.000189334 0.000148000
Iteration 175: 0.000011750 0.000206583 0.000198375 0.000060000
Iteration 176: 0.000011833 0.000226416 0.000206333 0.000025916
Iteration 177: 0.000011583 0.000186333 0.000182542 0.000090584
Iteration 178: 0.000011583 0.000123750 0.000219125 0.000115916
Iteration 179: 0.000011792 0.000197125 0.000209083 0.000054375
Iteration 180: 0.000012542 0.000177958 0.000151625 0.000128834
Iteration 181: 0.000011625 0.000189042 0.000123709 0.000146708
Iteration 182: 0.000011792 0.000121208 0.000225291 0.000112917
Iteration 183: 0.000011708 0.000157459 0.000119834 0.000179459
Iteration 184: 0.000011750 0.000222042 0.000220875 0.000015250
Iteration 185: 0.000048875 0.000149000 0.000195333 0.000160583
Iteration 186: 0.000018666 0.000647958 0.000227375 0.000125375
Iteration 187: 0.000018875 0.000186750 0.000141458 0.000140875
Iteration 188: 0.000011417 0.000179292 0.000241084 0.000071292
Iteration 189: 0.000016625 0.000140542 0.000178459 0.000143167
Iteration 190: 0.000011750 0.000186459 0.000216292 0.000067292
Iteration 191: 0.000015084 0.000138958 0.000217167 0.000102750
Iteration 192: 0.000024625 0.000139208 0.000216125 0.000133875
Iteration 193: 0.000026833 0.000210416 0.000129125 0.000138750
Iteration 194: 0.000013125 0.000177459 0.000141834 0.000145500
Iteration 195: 0.000013459 0.000140959 0.000213000 0.000102792
Iteration 196: 0.000012334 0.000182041 0.000150208 0.000123417
Iteration 197: 0.000012667 0.000274375 0.000174708 0.000090667
Iteration 198: 0.000013000 0.000221541 0.000184250 0.000050375
Iteration 199: 0.000012208 0.000233625 0.000178666 0.000054000
Iteration 200: 0.000012208 0.000216084 0.000183417 0.000080333
Iteration 201: 0.000012584 0.000138292 0.000183000 0.000143500
